,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Max Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
43,AL111878,            UNNAMED,18781023, 0400, L, HU, 34.8N,  77.1W,  90,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
44,AL021879,            UNNAMED,18790818, 1200, L, HU, 34.5N,  76.8W, 100,  971, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
45,AL031879,            UNNAMED,18790823, 0200, L, HU, 29.6N,  94.4W,  90,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
46,AL041879,            UNNAMED,18790901, 1600, L, HU, 29.5N,  91.4W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
47,AL021880,            UNNAMED,18800813, 0100, L, HU, 25.8N,  97.0W, 130,  931, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
48,AL041880,            UNNAMED,18800829, 1200, L, HU, 28.2N,  80.6W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
49,AL061880,            UNNAMED,18800909, 1000, L, HU, 34.7N,  77.1W,  70,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
50,AL091880,            UNNAMED,18801008, 1900, L, HU, 28.7N,  83.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
51,AL051881,            UNNAMED,18810828, 0200, L, HU, 31.7N,  81.1W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
52,AL061881,            UNNAMED,18810909, 1600, L, HU, 33.9N,  78.1W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
53,AL021882,            UNNAMED,18820910, 0200, L, HU, 30.4N,  86.8W, 110,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
54,AL061882,            UNNAMED,18821011, 0400, L, HU, 29.5N,  83.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
55,AL031883,            UNNAMED,18830911, 1300, L, HU, 33.9N,  78.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
56,AL021885,            UNNAMED,18850825, 1200, L, HU, 32.6N,  80.1W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
57,AL011886,            UNNAMED,18860614, 1600, L, HU, 29.6N,  94.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
58,AL021886,            UNNAMED,18860621, 1100, L, HU, 30.1N,  84.0W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
59,AL031886,            UNNAMED,18860630, 2100, L, HU, 29.7N,  85.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
60,AL041886,            UNNAMED,18860719, 0100, L, HU, 28.8N,  82.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
61,AL051886,            UNNAMED,18860820, 1300, L, HU, 28.1N,  96.8W, 130,  925, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
62,AL101886,            UNNAMED,18861012, 2200, L, HU, 29.8N,  93.5W, 105, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
63,AL041887,            UNNAMED,18870727, 1500, L, HU, 30.4N,  86.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
64,AL091887,            UNNAMED,18870921, 1700, L, HU, 26.1N,  97.2W,  75,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
65,AL131887,            UNNAMED,18871019, 0200, L, HU, 29.1N,  90.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
66,AL011888,            UNNAMED,18880617, 0600, L, HU, 28.7N,  95.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
67,AL031888,            UNNAMED,18880816, 1900, L, HU, 25.8N,  80.1W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
68,AL061888,            UNNAMED,18880926, 1300, L, HU, 41.6N,  69.9W,  70,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
69,AL071888,            UNNAMED,18881011, 0100, L, HU, 29.2N,  83.1W,  95,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
