,model_features,model_depth,mean_mae,std_mae
169,6,20,28.804155750706315,5.039255994465009
170,6,21,27.72315536120202,5.592392017294695
171,6,22,27.411097775734135,5.6629128778795135
172,6,23,27.510638865787296,5.755865558945076
173,6,24,26.84138751748062,5.665433535356756
174,6,25,27.271989113427434,5.483923202989517
175,6,26,27.022862460885058,5.599521709065559
176,6,27,27.0667701624512,5.764133204688857
177,6,28,27.51214898748903,5.855727553373947
178,6,29,26.963642038931418,5.580724018610829
179,6,30,27.07628270493409,5.67971713924498
180,7,1,303.88017206140785,37.7537614109919
181,7,2,281.7459763779054,32.284122438286055
182,7,3,256.37961613244215,26.30510272631116
183,7,4,230.71477290946922,21.932860471660057
184,7,5,208.90701127675985,18.984185763621415
185,7,6,183.3675258299466,17.07233636816159
186,7,7,157.98472394732636,15.578248083933495
187,7,8,131.21304937859327,13.823512414621696
188,7,9,107.37687033019901,11.225608307881657
189,7,10,87.92966476793029,10.4085047189138
190,7,11,71.61188686473353,8.763775581008625
191,7,12,59.69633979596581,7.799090362725115
192,7,13,49.36741314791135,6.423998122854227
193,7,14,42.38884418160758,5.282691488632281
194,7,15,37.55654457602511,5.878497544919746
195,7,16,34.295255448106026,5.94175289352164
196,7,17,31.787295640627526,5.658406387236946
197,7,18,30.516024242087457,5.937956908993333
198,7,19,29.451433988363835,5.5378659883484245
199,7,20,28.833202872082285,5.516638493013656
200,7,21,28.239588089003,5.310965752722515
201,7,22,28.039432876452658,6.155616501412905
202,7,23,28.000504388918557,5.305622661001648
203,7,24,27.972106481753684,5.677317950603186
204,7,25,27.405679580029453,5.653879974922484
205,7,26,27.586872528696432,5.762581792586498
206,7,27,27.72453583133771,5.815261662392157
207,7,28,27.61858055228843,5.692911201642659
208,7,29,27.659920445342237,5.568613104511954
209,7,30,27.634608777731803,5.6280850626088705
210,8,1,303.6931063143611,37.6582496021535
211,8,2,281.8183444548043,32.80726600535202
212,8,3,256.21545395208676,26.31510191283994
213,8,4,230.80521202236258,21.716255180116644
214,8,5,209.03419205941654,19.028202990681343
215,8,6,182.8690237918148,17.29773010762277
216,8,7,156.67086324285222,15.180783780983704
217,8,8,130.9705784581809,12.747729107329352
218,8,9,107.17689431272092,11.5698976192457
219,8,10,87.53323141458932,10.54317853822983
220,8,11,71.8032693992383,8.183488173844355
221,8,12,58.31985419085621,7.860138180111083
222,8,13,49.27061381782822,6.871778743624018
223,8,14,43.47608836394376,6.673556420692023
224,8,15,37.76221271682382,6.183551389155663
225,8,16,34.326066254352824,6.398391688754737
226,8,17,32.553218953465496,5.735983438126887
227,8,18,30.83961030426655,6.242160068937218
228,8,19,29.320884107180586,6.017407765070158
229,8,20,29.206419198000265,5.82461939443464
230,8,21,28.412927225338898,5.67725754584917
231,8,22,28.768664364529485,6.120882418498111
232,8,23,28.338874755497198,6.244544213892692
233,8,24,28.449757817449466,6.215034432715
234,8,25,28.028878582953485,5.982634500448464
235,8,26,28.42080208068277,5.9085822052007995
236,8,27,27.98438402904261,6.274482158084666
237,8,28,27.95578982223329,6.491529378562876
238,8,29,28.034860598533186,6.424156716027421
239,8,30,28.216505949261936,6.306439574002096
240,9,1,303.4181102675767,37.349185895024725
241,9,2,282.2405598181821,33.61071758651763
242,9,3,254.80252595166831,26.486563930416583
243,9,4,230.60590204350973,22.27262324079196
244,9,5,208.82458523620363,19.96060264507976
245,9,6,183.89252184332025,17.96780951995411
246,9,7,158.5508510590075,16.690482320754736
247,9,8,132.46200028627487,13.668178170882724
248,9,9,108.54880371924803,11.990918356854925
249,9,10,88.73079097580862,10.846716335451239
250,9,11,72.05421206588503,9.146238216123542
251,9,12,60.196644464740544,7.2574815538392885
252,9,13,50.97549458678439,6.974658830054639
253,9,14,43.77550791558053,6.591925427463964
254,9,15,38.284862373338434,6.474966364478234
255,9,16,35.68933196396737,6.355120967936193
256,9,17,33.01079225944952,6.094972861335325
257,9,18,30.890268260366803,6.30965529495774
258,9,19,29.985980847205344,5.457016181283765
259,9,20,29.099017957483625,5.995296739089066
260,9,21,29.211404683942778,6.578351441848042
261,9,22,28.575254007268654,5.930017863666435
262,9,23,28.685685702838033,6.029789027775586
263,9,24,28.095800777247643,6.06993473588448
264,9,25,28.207772742108933,5.7237866077073765
265,9,26,28.20959906517413,5.921466296017481
266,9,27,28.042800596172942,6.116858394921354
267,9,28,27.95668490058019,6.030562466625737
268,9,29,27.73535339122069,5.9930370269506525
269,9,30,27.96736083553767,6.0614382775788
270,10,1,303.9230887826993,37.27978858051252
271,10,2,280.98865706235676,33.741395478069464
272,10,3,254.17859801142336,25.13545378662957
273,10,4,228.86484586872217,21.5707707832808
274,10,5,207.44013838365117,18.849714407247035
275,10,6,183.36587830344894,17.386140934413685
276,10,7,157.38049131752774,16.520115033390045
277,10,8,131.06419196760203,14.147447848265276
278,10,9,107.31308394981235,12.187368715527834
279,10,10,88.59530208064523,10.890770725489979
280,10,11,71.60720843257205,8.611269327820416
281,10,12,59.86782981045618,7.750088991993912
282,10,13,50.03749720511811,7.23497506249073
283,10,14,42.64965762144917,6.179693246029832
284,10,15,38.527262299744606,5.742627015329475
285,10,16,34.65423292306001,6.249622126473559
286,10,17,32.805832651954816,6.287208068555959
287,10,18,30.83751959765494,6.067189309376458
288,10,19,29.4736726408773,6.089655873854476
289,10,20,28.62517831924214,5.72340250421587
290,10,21,28.618313617189642,5.76368901362856
291,10,22,27.937416852638847,5.611663801634104
292,10,23,28.23157122556703,5.721523545153948
293,10,24,27.627830443420443,5.749718233781334
