DamageBetween20001and3000,DamageGreaterThan3000,MajorDamage_rent,Estimate!!HOUSING OCCUPANCY!!Total housing units,Percent!!HOUSING OCCUPANCY!!Total housing units,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Percent!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Max Wind,Max Pressure,dist_from_landfall
0.0,0.0,1.0,228346.0,228346.0,203987.0,89.3,0,0.0,12876,5.6,38932,17.0,42811,18.7,32786,14.4,32417,14.2,25743,11.3,21308,9.3,8865,3.9,12608,5.5,80,956,173.20532664089376
6.0,11.0,8.0,51828.0,51828.0,45416.0,87.6,0,0.0,6740,13.0,10667,20.6,12606,24.3,5975,11.5,5610,10.8,3476,6.7,2712,5.2,1468,2.8,2574,5.0,80,956,100.07211539100811
1.0,1.0,0.0,20880.0,20880.0,17799.0,85.2,0,0.0,2506,12.0,5641,27.0,5358,25.7,2442,11.7,1966,9.4,1254,6.0,980,4.7,351,1.7,382,1.8,80,956,95.30834106388947
0.0,0.0,0.0,3353.0,3353.0,1947.0,58.1,0,0.0,4,0.1,640,19.1,801,23.9,294,8.8,532,15.9,647,19.3,90,2.7,92,2.7,253,7.5,80,956,124.15472511131621
0.0,0.0,0.0,75438.0,75438.0,68968.0,91.4,0,0.0,8943,11.9,18189,24.1,17861,23.7,9581,12.7,6288,8.3,4647,6.2,3503,4.6,2482,3.3,3944,5.2,80,956,100.81124930468032
70.0,93.0,17.0,4985.0,4985.0,4045.0,81.1,0,0.0,215,4.3,692,13.9,930,18.7,594,11.9,935,18.8,568,11.4,351,7.0,271,5.4,429,8.6,80,956,62.647516571045074
1.0,2.0,2.0,24509.0,24509.0,21894.0,89.3,0,0.0,1331,5.5,3943,16.1,4441,18.1,4212,17.2,4344,17.7,2248,9.2,2100,8.6,814,3.3,1076,4.4,80,956,116.47309665531535
12.0,3.0,1.0,27607.0,27607.0,23148.0,83.8,0,0.0,614,2.3,2636,9.5,5057,18.3,4022,14.6,4978,18.0,3188,11.5,3547,12.8,1739,6.3,1826,6.6,80,956,73.7189564961055
13.0,3.0,5.0,47273.0,47273.0,39821.0,84.2,0,0.0,3829,8.1,8937,18.9,10578,22.4,8464,17.9,6237,13.2,3068,6.5,2363,5.0,1409,3.0,2388,5.1,80,956,117.56415782734746
46.0,19.0,57.0,111031.0,111031.0,95638.0,86.1,0,0.0,8722,7.9,21444,19.3,26110,23.5,17141,15.4,14772,13.3,6751,6.1,5762,5.2,4115,3.7,6214,5.6,80,956,4.543942914198603
64.0,37.0,127.0,79281.0,79281.0,64386.0,81.2,0,0.0,14427,18.2,18376,23.2,13923,17.6,11628,14.7,9908,12.5,4772,6.0,3940,5.0,1352,1.7,955,1.2,80,956,43.17355712165957
0.0,0.0,3.0,58256.0,58256.0,53376.0,91.6,0,0.0,3839,6.6,9222,15.8,12209,21.0,10870,18.7,8925,15.3,6028,10.3,3814,6.5,1248,2.1,2101,3.6,80,956,142.60802145491954
25.0,7.0,1.0,7734.0,7734.0,5416.0,70.0,0,0.0,540,7.0,1447,18.7,1673,21.6,1074,13.9,1120,14.5,775,10.0,474,6.1,225,2.9,406,5.2,80,956,85.01643628403652
260.0,395.0,122.0,29030.0,29030.0,21740.0,74.9,0,0.0,2604,9.0,7363,25.4,7063,24.3,4426,15.2,3286,11.3,1694,5.8,1068,3.7,464,1.6,1062,3.7,80,956,17.496883354510228
0.0,0.0,1.0,79384.0,79384.0,69799.0,87.9,0,0.0,6512,8.2,19958,25.1,18233,23.0,11170,14.1,9826,12.4,5372,6.8,4202,5.3,1424,1.8,2687,3.4,80,956,97.79293378803533
0.0,0.0,0.0,21585.0,21585.0,18380.0,85.2,0,0.0,892,4.2,2015,9.3,3865,17.9,3590,16.6,3623,16.8,2891,13.4,1962,9.1,1132,5.2,1615,7.5,80,956,121.64408131471059
73.0,16.0,20.0,53210.0,53210.0,45927.0,86.3,0,0.0,2263,4.3,5448,10.2,12650,23.8,9042,17.0,9771,18.4,4626,8.7,4650,8.7,2235,4.2,2525,4.7,80,956,80.77156334147071
14.0,29.0,11.0,27726.0,27726.0,23416.0,84.5,0,0.0,1104,4.0,3157,11.4,6657,24.0,4177,15.1,4373,15.8,3102,11.2,2252,8.1,979,3.5,1925,6.9,80,956,66.9775104928487
4.0,4.0,5.0,15312.0,15312.0,12922.0,84.4,0,0.0,401,2.6,1189,7.8,2545,16.6,2714,17.7,2968,19.4,2148,14.0,1447,9.5,923,6.0,977,6.4,80,956,103.71520208679402
0.0,1.0,0.0,81056.0,81056.0,76346.0,94.2,0,0.0,7961,9.8,27354,33.7,17769,21.9,9841,12.1,6887,8.5,4666,5.8,2575,3.2,1699,2.1,2304,2.8,80,956,170.8381524660236
4.0,1.0,2.0,54291.0,54291.0,48343.0,89.0,0,0.0,2543,4.7,8365,15.4,10614,19.6,8326,15.3,8986,16.6,5997,11.0,4380,8.1,1759,3.2,3321,6.1,80,956,81.54456270396913
0.0,1.0,0.0,36146.0,36146.0,32014.0,88.6,0,0.0,1108,3.1,5793,16.0,6296,17.4,5471,15.1,5614,15.5,4209,11.6,3167,8.8,1918,5.3,2570,7.1,80,956,105.58503947969237
0.0,0.0,0.0,117411.0,117411.0,89997.0,76.7,3362,2.9,11199,9.6,26064,22.1,18365,15.6,28772,24.5,19050,16.2,6996,5.9,2906,2.4,448,0.4,247,0.2,100,950,222.04961089922534
3.0,0.0,0.0,627647.0,627647.0,580953.0,92.6,15507,2.5,101353,16.2,115807,18.5,88121,14.0,114725,18.3,80420,12.7,45099,7.1,37404,5.9,11478,1.8,17729,2.9,100,950,151.70506484092098
1.0,2.0,0.0,220387.0,220387.0,174291.0,79.2,8628,4.0,38560,17.7,37673,17.0,26263,11.8,35866,16.2,35541,16.0,19081,8.6,13042,6.0,2211,1.0,3518,1.6,100,950,179.19240413040077
41.0,3.0,1.0,270534.0,270534.0,236275.0,87.4,9720,3.6,36419,13.7,55834,20.6,39211,14.4,51993,19.2,53948,19.8,14503,5.4,5496,2.0,1527,0.6,1880,0.7,100,950,130.88645015895813
19.0,16.0,0.0,520442.0,520442.0,427166.0,82.1,4035,0.8,25437,4.9,35430,6.8,48583,9.3,102820,19.8,133258,25.6,65901,12.6,72229,13.9,14844,2.8,17901,3.4,100,950,147.535684968356
2.0,1.0,0.0,265148.0,265148.0,211168.0,79.8,7858,3.0,31651,12.0,46291,17.4,35155,13.2,49541,18.6,50506,19.0,22176,8.4,16140,6.0,2518,1.0,3308,1.3,100,950,199.31002809552908
23.0,13.0,9.0,11193.0,11193.0,7612.0,68.0,137,1.2,566,5.1,1815,16.2,2124,19.0,2325,20.8,1506,13.5,841,7.4,763,6.8,294,2.6,819,7.3,100,950,10.819982077292067
0.0,0.0,0.0,42882.0,42882.0,34751.0,81.1,512,1.2,4084,9.5,8025,18.7,7435,17.3,6541,15.2,5149,12.0,3865,9.0,3418,8.0,1647,3.8,2203,5.1,100,950,154.69868134316852
102.0,14.0,1.0,84361.0,84361.0,71206.0,84.5,1751,2.1,7361,8.7,16194,19.2,14588,17.3,23159,27.4,15052,17.8,4134,5.0,1357,1.6,490,0.6,272,0.3,100,950,99.21730931622554
2.0,3.0,0.0,30324.0,30324.0,27116.0,89.5,733,2.5,2930,9.8,5680,18.6,6720,22.1,4541,15.0,5010,16.5,1907,6.2,1332,4.4,838,2.8,629,2.0,100,950,58.128388773136365
70.0,65.0,5.0,9343.0,9343.0,6036.0,64.7,151,1.6,432,4.6,1119,12.0,2319,24.8,2589,27.8,1175,12.6,563,6.0,681,7.3,123,1.3,187,2.0,100,950,37.31513352382698
4.0,1.0,0.0,7733.0,7733.0,7025.0,90.8,368,4.8,1316,17.2,1702,22.0,1963,25.4,906,11.7,797,10.2,386,5.0,105,1.3,157,2.1,31,0.3,100,950,49.4255480364875
3.0,3.0,6.0,5590.0,5590.0,4354.0,77.8,60,1.1,504,9.0,959,17.1,1179,21.1,1070,19.0,560,10.0,530,9.5,375,6.7,90,1.6,261,4.7,100,950,54.85682085360909
30.0,4.0,1.0,92014.0,92014.0,81843.0,89.0,1195,1.4,7113,7.8,22085,24.0,16358,17.8,28163,30.6,11092,12.1,3207,3.5,1718,1.8,681,0.8,397,0.5,100,950,116.96089265090568
3.0,0.0,1.0,3369.0,3369.0,2730.0,81.2,31,0.9,281,8.4,617,18.3,843,25.1,442,13.0,353,10.4,328,9.8,287,8.6,64,1.9,118,3.5,100,950,27.789910306365602
43.0,12.0,0.0,21346.0,21346.0,18376.0,86.1,393,1.9,1762,8.3,4512,21.2,4717,22.1,3691,17.3,3574,16.7,1291,6.1,555,2.6,366,1.8,482,2.3,100,950,66.79209461822254
12.0,12.0,3.0,18978.0,18978.0,15736.0,83.0,47,0.2,1971,10.3,3001,15.8,4922,25.9,3402,17.9,2769,14.6,767,4.1,718,3.8,659,3.5,719,3.8,100,950,42.71127682789325
1.0,2.0,1.0,6830.0,6830.0,5651.0,82.8,157,2.2,690,10.1,1155,16.9,1214,17.8,1089,15.9,1061,15.5,518,7.6,102,1.5,553,8.2,288,4.2,100,950,45.03856728549941
8.0,3.0,1.0,8330.0,8330.0,7030.0,84.4,68,0.9,524,6.3,1498,18.0,1669,20.0,1388,16.6,912,10.9,481,5.8,570,6.8,422,5.1,794,9.6,100,950,40.77815796700405
0.0,0.0,0.0,7881.0,7881.0,6759.0,85.7,150,1.9,740,9.2,1509,19.0,1533,19.6,1189,15.2,1026,13.0,338,4.4,880,11.1,37,0.6,475,6.0,100,950,94.17433998237281
0.0,0.0,0.0,7229.0,7229.0,5908.0,81.7,20,0.2,651,8.8,887,12.4,1370,19.0,1471,20.3,974,13.5,707,9.8,247,3.4,463,6.4,436,6.1,100,950,64.92000036220702
0.0,0.0,0.0,7394.0,7394.0,6349.0,85.9,56,0.8,378,5.1,1296,17.6,1240,16.8,1140,15.4,1179,15.9,927,12.6,548,7.4,176,2.4,451,6.1,100,950,86.63364031556304
7.0,8.0,9.0,50990.0,50990.0,45839.0,90.0,638,1.2,6982,13.8,10696,21.0,9532,18.7,7642,15.0,6753,13.2,3042,6.0,3305,6.5,1033,2.0,1363,2.7,100,950,68.83133570790416
1.0,1.0,3.0,564767.0,564767.0,506126.0,89.6,0,0.0,31930,5.6,124316,22.0,96980,17.2,109973,19.5,83464,14.8,48091,8.5,40513,7.2,12147,2.2,17351,3.0,70,981,179.37965104279917
2.0,0.0,0.0,184023.0,184023.0,140040.0,76.1,0,0.0,11331,6.1,38753,21.1,27599,15.0,34110,18.5,36702,20.0,17178,9.4,12077,6.6,2737,1.5,3533,1.9,70,981,204.39681580604125
1.0,1.0,1.0,237531.0,237531.0,195258.0,82.2,0,0.0,9801,4.0,55764,23.5,37769,15.9,49142,20.8,60523,25.4,14891,6.2,5757,2.4,1956,0.8,1926,0.8,70,981,159.12646761116983
0.0,0.0,0.0,506395.0,506395.0,405099.0,80.0,0,0.0,7316,1.5,32191,6.4,47461,9.4,101060,20.0,141048,27.8,75093,14.8,70288,13.9,13597,2.6,18339,3.6,70,981,172.8041839544246
1.0,1.0,7.0,127960.0,127960.0,112246.0,87.7,0,0.0,3564,2.7,23412,18.3,28716,22.5,26261,20.5,22564,17.6,10734,8.4,8021,6.2,3041,2.4,1645,1.3,70,981,27.182137216307968
4.0,1.0,9.0,11009.0,11009.0,7505.0,68.2,0,0.0,264,2.4,1768,16.0,2323,21.1,1747,15.8,1649,15.0,1286,11.6,1094,9.9,357,3.2,520,4.7,70,981,30.67570123930912
0.0,0.0,0.0,13160.0,13160.0,10945.0,83.2,0,0.0,492,3.7,4168,31.6,3467,26.3,2139,16.4,1429,10.9,583,4.4,433,3.2,190,1.4,256,2.0,70,981,15.187435568939685
26.0,1.0,1.0,78730.0,78730.0,62346.0,79.2,0,0.0,1713,2.2,17110,21.8,16428,20.8,20947,26.6,14925,19.0,4413,5.6,2240,2.8,562,0.7,388,0.5,70,981,130.58355734253354
15.0,0.0,0.0,9322.0,9322.0,6277.0,67.3,0,0.0,243,2.6,1841,19.8,2025,21.7,2012,21.6,1348,14.4,919,9.8,451,4.8,207,2.2,274,3.0,70,981,70.25445784612964
1.0,0.0,1.0,85764.0,85764.0,72900.0,85.0,0,0.0,2004,2.3,21730,25.4,15909,18.6,26865,31.4,12938,15.1,3358,3.9,1992,2.3,423,0.5,542,0.6,70,981,146.42089768548072
5.0,0.0,0.0,20259.0,20259.0,15945.0,78.7,0,0.0,646,3.1,4460,22.0,5253,26.0,3809,18.8,3453,17.0,1329,6.6,554,2.8,306,1.5,446,2.2,70,981,99.59976876118931
3.0,0.0,0.0,7699.0,7699.0,5912.0,76.8,0,0.0,205,2.7,686,8.9,1135,14.7,1804,23.4,1900,24.7,1101,14.3,456,5.9,178,2.3,234,3.0,75,986,46.61276281838545
0.0,0.0,0.0,17417.0,17417.0,12652.0,72.6,0,0.0,655,3.8,1470,8.4,2074,11.9,3379,19.4,5871,33.7,2929,16.8,840,4.8,144,0.8,55,0.3,75,986,46.61276281838545
0.0,0.0,3.0,27766.0,27766.0,21639.0,77.9,17,0.1,1224,4.4,4595,16.5,3561,12.8,5724,20.6,5036,18.1,3494,12.6,2006,7.2,1582,5.7,527,1.9,75,986,46.61276281838545
0.0,0.0,0.0,10641.0,10641.0,8804.0,82.7,0,0.0,272,2.6,1349,12.7,1720,16.2,1831,17.2,2196,20.6,2085,19.6,476,4.5,222,2.1,490,4.6,75,986,46.61276281838545
0.0,0.0,1.0,10417.0,10417.0,9415.0,90.4,0,0.0,382,3.7,1283,12.3,1941,18.6,2124,20.4,2357,22.6,1034,9.9,575,5.5,289,2.8,432,4.1,75,986,46.61276281838545
0.0,0.0,3.0,12273.0,12273.0,8835.0,72.0,31,0.3,329,2.7,1234,10.1,1730,14.1,1986,16.2,3766,30.7,2413,19.7,594,4.8,91,0.7,99,0.8,75,986,46.61276281838545
5.0,1.0,11.0,41415.0,41415.0,32053.0,77.4,24,0.1,725,1.8,4949,11.9,6706,16.2,6424,15.5,10566,25.5,7091,17.1,3317,8.0,1043,2.5,570,1.4,75,986,46.61276281838545
0.0,0.0,2.0,8087.0,8087.0,6364.0,78.7,29,0.4,175,2.2,1374,17.0,1182,14.6,823,10.2,1830,22.6,1488,18.4,864,10.7,146,1.8,176,2.2,75,986,46.61276281838545
0.0,0.0,0.0,10216.0,10216.0,8547.0,83.7,27,0.3,336,3.3,2087,20.4,2331,22.8,1239,12.1,2140,20.9,1361,13.3,388,3.8,196,1.9,111,1.1,75,986,46.61276281838545
0.0,1.0,1.0,11378.0,11378.0,9521.0,83.7,36,0.3,480,4.2,1447,12.7,2409,21.2,2469,21.7,1990,17.5,1470,12.9,438,3.8,242,2.1,397,3.5,75,986,46.61276281838545
1.0,0.0,3.0,84738.0,84738.0,71416.0,84.3,86,0.1,1472,1.7,6374,7.5,9038,10.7,11132,13.1,17734,20.9,21503,25.4,11346,13.4,3984,4.7,2069,2.4,75,986,46.61276281838545
4.0,1.0,1.0,28094.0,28094.0,18172.0,64.7,44,0.2,1156,4.1,5826,20.7,5387,19.2,4578,16.3,6191,22.0,2633,9.4,1611,5.7,583,2.1,85,0.3,75,986,46.61276281838545
1.0,0.0,0.0,58929.0,58929.0,50488.0,85.7,0,0.0,1695,2.9,9821,16.7,8434,14.3,9172,15.6,12363,21.0,11174,19.0,4293,7.3,1301,2.2,676,1.1,75,986,46.61276281838545
0.0,0.0,0.0,14213.0,14213.0,11814.0,83.1,0,0.0,515,3.6,2512,17.7,2712,19.1,2930,20.6,2961,20.8,1652,11.6,725,5.1,146,1.0,60,0.4,75,986,46.61276281838545
4.0,0.0,4.0,17915.0,17915.0,15235.0,85.0,14,0.1,383,2.1,3316,18.5,3830,21.4,2848,15.9,3638,20.3,2325,13.0,1156,6.5,311,1.7,94,0.5,75,986,46.61276281838545
1.0,0.0,0.0,77274.0,77274.0,62428.0,80.8,24,0.0,1138,1.5,7096,9.2,7289,9.4,7673,9.9,17192,22.2,29876,38.7,5212,6.7,1087,1.4,687,0.9,75,986,46.61276281838545
0.0,0.0,0.0,11011.0,11011.0,8998.0,81.7,0,0.0,230,2.1,661,6.0,934,8.5,2309,21.0,2454,22.3,2216,20.1,1503,13.6,614,5.6,90,0.8,75,986,46.61276281838545
2.0,1.0,0.0,19885.0,19885.0,16534.0,83.1,11,0.1,340,1.7,3309,16.6,3178,16.0,2737,13.8,4710,23.7,2844,14.3,1823,9.2,560,2.8,373,1.9,75,986,46.61276281838545
0.0,0.0,0.0,7257.0,7257.0,4100.0,56.5,0,0.0,280,3.9,1329,18.3,1662,22.9,1253,17.3,1510,20.8,711,9.8,365,5.0,11,0.2,136,1.9,75,986,46.61276281838545
0.0,0.0,0.0,7276.0,7276.0,5631.0,77.4,0,0.0,221,3.0,756,10.4,1759,24.2,1754,24.1,1562,21.5,615,8.5,463,6.4,109,1.5,37,0.5,75,986,46.61276281838545
1.0,1.0,4.0,16678.0,16678.0,14556.0,87.3,0,0.0,332,2.0,3683,22.1,3973,23.8,2943,17.6,3409,20.4,1234,7.4,630,3.8,192,1.2,282,1.7,75,986,46.61276281838545
1.0,0.0,1.0,16061.0,16061.0,13006.0,81.0,0,0.0,348,2.2,3226,20.1,2753,17.1,3055,19.0,3268,20.3,1275,7.9,1141,7.1,564,3.5,431,2.7,75,986,46.61276281838545
2.0,0.0,2.0,7586.0,7586.0,5612.0,74.0,0,0.0,271,3.6,748,9.9,1372,18.1,1280,16.9,1416,18.7,1301,17.2,631,8.3,304,4.0,263,3.5,75,986,46.61276281838545
0.0,0.0,0.0,13371.0,13371.0,10902.0,81.5,38,0.3,290,2.2,1295,9.7,1969,14.7,2903,21.7,3328,24.9,2316,17.3,876,6.6,253,1.9,103,0.8,75,986,46.61276281838545
0.0,0.0,0.0,1449.0,1449.0,428.0,29.5,0,0.0,105,7.2,367,25.3,490,33.8,152,10.5,172,11.9,51,3.5,80,5.5,16,1.1,16,1.1,75,986,46.61276281838545
2.0,0.0,1.0,15894.0,15894.0,12074.0,76.0,0,0.0,659,4.1,3370,21.2,2399,15.1,2930,18.4,3661,23.0,1469,9.2,945,5.9,379,2.4,82,0.5,75,986,46.61276281838545
0.0,1.0,0.0,18649.0,18649.0,12863.0,69.0,46,0.2,89,0.5,2351,12.6,3048,16.3,2874,15.4,5358,28.7,3074,16.5,1290,6.9,198,1.1,321,1.7,75,986,46.61276281838545
0.0,0.0,0.0,5031.0,5031.0,4515.0,89.7,0,0.0,100,2.0,1504,29.9,590,11.7,947,18.8,1228,24.4,308,6.1,207,4.1,108,2.1,39,0.8,75,986,46.61276281838545
1.0,2.0,2.0,9017.0,9017.0,5583.0,61.9,0,0.0,287,3.2,637,7.1,1574,17.5,2324,25.8,2166,24.0,1392,15.4,444,4.9,96,1.1,97,1.1,75,986,46.61276281838545
1.0,5.0,2.0,18227.0,18227.0,14965.0,82.1,19,0.1,625,3.4,3529,19.4,2438,13.4,2252,12.4,3707,20.3,3310,18.2,1087,6.0,568,3.1,692,3.8,75,986,46.61276281838545
2.0,0.0,2.0,8265.0,8265.0,6342.0,76.7,16,0.2,157,1.9,794,9.6,1077,13.0,1337,16.2,2033,24.6,1792,21.7,686,8.3,231,2.8,142,1.7,75,986,46.61276281838545
0.0,0.0,0.0,41194.0,41194.0,34856.0,84.6,30,0.1,1207,2.9,5308,12.9,7381,17.9,6731,16.3,7824,19.0,8850,21.5,2680,6.5,1005,2.4,178,0.4,75,986,46.61276281838545
0.0,0.0,0.0,17343.0,17343.0,15177.0,87.5,30,0.2,430,2.5,4812,27.7,4100,23.6,3069,17.7,2529,14.6,1082,6.2,654,3.8,447,2.6,190,1.1,75,986,46.61276281838545
0.0,0.0,1.0,17001.0,17001.0,13283.0,78.1,54,0.3,885,5.2,3196,18.8,3470,20.4,4019,23.6,2596,15.3,1727,10.2,695,4.1,339,2.0,20,0.1,75,986,46.61276281838545
4.0,1.0,1.0,7570.0,7570.0,6044.0,79.8,0,0.0,157,2.1,946,12.5,1316,17.4,885,11.7,1639,21.7,1631,21.5,525,6.9,345,4.6,126,1.7,75,986,46.61276281838545
0.0,0.0,0.0,26715.0,26715.0,18813.0,70.4,33,0.1,1282,4.8,4302,16.1,4226,15.8,5216,19.5,7149,26.8,2985,11.2,1012,3.8,306,1.1,204,0.8,75,986,46.61276281838545
1.0,0.0,1.0,20638.0,20638.0,14640.0,70.9,0,0.0,873,4.2,4332,21.0,3218,15.6,3297,16.0,4019,19.5,3254,15.8,1058,5.1,373,1.8,214,1.0,75,986,46.61276281838545
2.0,0.0,0.0,6276.0,6276.0,4876.0,77.7,0,0.0,263,4.2,865,13.8,1113,17.7,1391,22.2,1618,25.8,486,7.7,251,4.0,251,4.0,38,0.6,75,986,46.61276281838545
2.0,3.0,3.0,19046.0,19046.0,15712.0,82.5,24,0.1,835,4.4,2982,15.7,4054,21.3,3918,20.6,3972,20.9,1850,9.7,800,4.2,415,2.2,196,1.0,75,986,46.61276281838545
1.0,0.0,0.0,16164.0,16164.0,13422.0,83.0,0,0.0,531,3.3,3924,24.3,3409,21.1,2776,17.2,2141,13.2,1531,9.5,1251,7.7,368,2.3,233,1.4,75,986,46.61276281838545
4.0,0.0,6.0,12129.0,12129.0,8236.0,67.9,0,0.0,305,2.5,1296,10.7,2498,20.6,2520,20.8,2511,20.7,1731,14.3,904,7.5,262,2.2,102,0.8,75,986,46.61276281838545
1.0,0.0,0.0,12448.0,12448.0,10517.0,84.5,0,0.0,648,5.2,1409,11.3,2611,21.0,2688,21.6,2470,19.8,1290,10.4,784,6.3,213,1.7,335,2.7,75,986,46.61276281838545
0.0,0.0,0.0,3992.0,3992.0,2822.0,70.7,0,0.0,62,1.6,375,9.4,962,24.1,647,16.2,832,20.8,618,15.5,166,4.2,195,4.9,135,3.4,75,986,46.61276281838545
1.0,0.0,0.0,15124.0,15124.0,12519.0,82.8,0,0.0,810,5.4,3876,25.6,3081,20.4,2270,15.0,2897,19.2,1219,8.1,755,5.0,163,1.1,53,0.4,75,986,46.61276281838545
0.0,0.0,0.0,11324.0,11324.0,8730.0,77.1,0,0.0,218,1.9,1869,16.5,2248,19.9,2568,22.7,2376,21.0,1045,9.2,697,6.2,131,1.2,172,1.5,75,986,46.61276281838545
0.0,0.0,0.0,10417.0,10417.0,6738.0,64.7,0,0.0,332,3.2,1284,12.3,1731,16.6,1664,16.0,2896,27.8,1438,13.8,639,6.1,293,2.8,140,1.3,75,986,46.61276281838545
0.0,0.0,2.0,18740.0,18740.0,14813.0,79.0,0,0.0,282,1.5,1546,8.2,2410,12.9,2418,12.9,5940,31.7,4542,24.2,1164,6.2,263,1.4,175,0.9,75,986,46.61276281838545
0.0,0.0,0.0,2576.0,2576.0,1809.0,70.2,0,0.0,16,0.6,140,5.4,550,21.4,515,20.0,630,24.5,407,15.8,97,3.8,143,5.6,78,3.0,75,986,46.61276281838545
0.0,0.0,0.0,5019.0,5019.0,3985.0,79.4,0,0.0,126,2.5,745,14.8,1203,24.0,969,19.3,1092,21.8,602,12.0,86,1.7,41,0.8,155,3.1,75,986,46.61276281838545
1.0,1.0,1.0,41057.0,41057.0,29407.0,71.6,0,0.0,852,2.1,2756,6.7,3255,7.9,4528,11.0,7680,18.7,9308,22.7,8873,21.6,3016,7.3,789,1.9,75,986,46.61276281838545
0.0,1.0,2.0,16542.0,16542.0,13250.0,80.1,11,0.1,1105,6.7,2260,13.7,3201,19.4,3253,19.7,3720,22.5,1435,8.7,1098,6.6,431,2.6,28,0.2,75,986,46.61276281838545
1.0,1.0,0.0,12266.0,12266.0,10026.0,81.7,41,0.3,276,2.3,2182,17.8,2888,23.5,2115,17.2,2267,18.5,1722,14.0,508,4.1,159,1.3,108,0.9,75,986,46.61276281838545
0.0,0.0,2.0,11220.0,11220.0,8217.0,73.2,0,0.0,346,3.1,2409,21.5,1830,16.3,1813,16.2,1902,17.0,1616,14.4,799,7.1,389,3.5,116,1.0,75,986,46.61276281838545
0.0,0.0,3.0,10862.0,10862.0,8866.0,81.6,0,0.0,288,2.7,888,8.2,1511,13.9,2793,25.7,2510,23.1,1815,16.7,666,6.1,233,2.1,158,1.5,75,986,46.61276281838545
5.0,1.0,0.0,9040.0,9040.0,6839.0,75.7,0,0.0,160,1.8,1188,13.1,1789,19.8,1794,19.8,2339,25.9,1145,12.7,464,5.1,100,1.1,61,0.7,75,986,46.61276281838545
0.0,0.0,0.0,8067.0,8067.0,6012.0,74.5,0,0.0,95,1.2,1690,20.9,2053,25.4,1965,24.4,1378,17.1,704,8.7,118,1.5,0,0.0,64,0.8,75,986,46.61276281838545
0.0,2.0,2.0,8616.0,8616.0,6904.0,80.1,0,0.0,201,2.3,941,10.9,1820,21.1,2049,23.8,1793,20.8,1245,14.4,327,3.8,143,1.7,97,1.1,75,986,46.61276281838545
12.0,7.0,10.0,66944.0,66944.0,53587.0,80.0,36,0.1,776,1.2,5069,7.6,8651,12.9,10146,15.2,21877,32.7,12103,18.1,5472,8.2,1956,2.9,858,1.3,75,986,46.61276281838545
0.0,0.0,0.0,10619.0,10619.0,8167.0,76.9,0,0.0,452,4.3,1118,10.5,2061,19.4,2568,24.2,2058,19.4,1554,14.6,553,5.2,229,2.2,26,0.2,75,986,46.61276281838545
0.0,0.0,0.0,9163.0,9163.0,5585.0,61.0,33,0.4,454,5.0,1282,14.0,899,9.8,1529,16.7,2974,32.5,1706,18.6,251,2.7,24,0.3,11,0.1,75,986,46.61276281838545
0.0,0.0,0.0,22782.0,22782.0,16396.0,72.0,77,0.3,553,2.4,3826,16.8,4167,18.3,4524,19.9,5413,23.8,2476,10.9,1199,5.3,437,1.9,110,0.5,75,986,46.61276281838545
0.0,2.0,1.0,10949.0,10949.0,7414.0,67.7,0,0.0,188,1.7,594,5.4,2598,23.7,3384,30.9,2183,19.9,1070,9.8,568,5.2,269,2.5,95,0.9,75,986,46.61276281838545
6.0,2.0,2.0,13152.0,13152.0,10030.0,76.3,0,0.0,381,2.9,2149,16.3,2233,17.0,2352,17.9,2569,19.5,1472,11.2,773,5.9,649,4.9,574,4.4,75,986,46.61276281838545
