DamageBetween20001and3000,DamageGreaterThan3000,MajorDamage_rent,Estimate!!HOUSING OCCUPANCY!!Total housing units,Percent!!HOUSING OCCUPANCY!!Total housing units,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Percent!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Max Wind,Max Pressure,dist_from_landfall
2283.0,1605.0,392.0,108115.0,108115.0,93114.0,86.2,0,0.0,6566,6.1,13193,12.2,11382,10.6,12258,11.4,18602,17.2,18713,17.3,16297,15.1,5546,5.1,5555,5.2,115,937,220.4273137793814
296.0,164.0,46.0,30862.0,30862.0,26484.0,85.8,0,0.0,2440,7.8,6112,19.8,6436,20.9,4531,14.8,4808,15.6,3041,9.8,1762,5.7,697,2.3,1032,3.4,115,937,190.73607973503354
39.0,7.0,2.0,19411.0,19411.0,13731.0,70.7,0,0.0,807,4.1,2046,10.6,1857,9.6,3105,16.0,4288,22.1,3229,16.6,2357,12.2,722,3.7,997,5.2,115,937,83.69577205996242
653.0,784.0,353.0,210269.0,210269.0,192296.0,91.4,0,0.0,32168,15.0,67528,32.2,44183,21.0,28687,13.7,26005,12.4,6766,3.3,3099,1.4,815,0.4,1016,0.5,115,937,176.4188553867203
2154.0,1428.0,262.0,37041.0,37041.0,31784.0,85.8,0,0.0,3020,8.1,5665,15.3,4913,13.3,5068,13.7,6675,18.0,4670,12.6,4257,11.5,1628,4.4,1142,3.1,115,937,234.56731525714994
31.0,20.0,3.0,25158.0,25158.0,17894.0,71.2,0,0.0,1379,5.4,4509,17.9,4439,17.8,4908,19.5,5514,21.9,2014,8.0,1132,4.5,671,2.7,590,2.4,115,937,222.58518512983233
110.0,63.0,17.0,13738.0,13738.0,9901.0,72.0,0,0.0,970,7.0,2637,19.2,3294,23.9,2436,17.8,3018,22.0,546,4.0,377,2.8,200,1.4,256,1.8,115,937,205.3843481860069
8.0,3.0,6.0,25834.0,25834.0,21643.0,83.8,0,0.0,2004,7.8,5175,20.1,5107,19.8,6066,23.5,4056,15.8,1623,6.3,899,3.5,411,1.6,491,1.9,115,937,204.9119589539903
60.0,11.0,1.0,16773.0,16773.0,14862.0,88.6,0,0.0,2133,12.6,3740,22.4,3276,19.5,2582,15.4,2481,14.8,879,5.3,573,3.4,569,3.4,537,3.2,115,937,148.97945931935078
218.0,147.0,15.0,17546.0,17546.0,15084.0,86.0,0,0.0,1071,6.1,1597,9.1,2139,12.2,2402,13.7,2858,16.3,1851,10.6,2484,14.2,1619,9.2,1522,8.7,115,937,98.32647789103133
161.0,313.0,350.0,16027.0,16027.0,9581.0,59.8,0,0.0,1113,6.9,3521,22.0,3133,19.5,2536,15.8,2906,18.1,1477,9.2,654,4.1,438,2.7,247,1.6,115,937,10.751638197713037
4.0,1.0,1.0,29906.0,29906.0,25541.0,85.4,0,0.0,3148,10.5,7606,25.5,6286,21.0,5148,17.2,2966,9.9,1396,4.6,1104,3.7,793,2.7,1456,4.9,115,937,150.23828794029293
1.0,0.0,2.0,10717.0,10717.0,8392.0,78.3,0,0.0,464,4.4,775,7.3,771,7.2,1881,17.5,3113,29.0,1319,12.3,1366,12.8,477,4.4,549,5.2,115,937,57.70088437904862
2.0,0.0,0.0,14632.0,14632.0,13207.0,90.2,0,0.0,965,6.6,2858,19.6,2375,16.2,2300,15.7,1940,13.3,972,6.6,1215,8.3,714,4.9,1290,8.8,115,937,136.76580171872178
4.0,12.0,21.0,11910.0,11910.0,7685.0,64.6,0,0.0,541,4.5,1665,14.0,1661,13.9,1988,16.7,1403,11.8,2210,18.6,1924,16.1,269,2.3,246,2.0,115,937,43.876788668321026
10.0,5.0,0.0,10668.0,10668.0,7501.0,70.4,0,0.0,559,5.2,1695,15.8,1506,14.1,1763,16.5,1084,10.1,884,8.2,1223,11.5,900,8.4,1051,9.9,115,937,116.72450977656173
2.0,1.0,1.0,9234.0,9234.0,7051.0,76.4,0,0.0,464,5.0,889,9.6,1318,14.2,1090,11.8,1067,11.6,854,9.3,1040,11.3,892,9.7,1617,17.5,115,937,79.74961640441667
34.0,142.0,32.0,13953.0,13953.0,9240.0,66.2,0,0.0,818,5.8,2684,19.2,1532,11.0,1917,13.7,1684,12.0,1331,9.5,1145,8.2,891,6.4,1948,14.0,115,937,127.83114850206745
2.0,0.0,3.0,3758.0,3758.0,2765.0,73.6,0,0.0,265,7.0,777,20.7,522,13.9,507,13.5,489,13.0,366,9.7,300,8.0,122,3.3,406,10.8,115,937,56.457490102851295
1.0,0.0,1.0,8946.0,8946.0,7142.0,79.8,0,0.0,605,6.8,1150,12.8,1155,12.9,1437,16.0,1142,12.8,970,10.8,889,10.0,701,7.8,893,10.0,115,937,108.1396974683697
3.0,2.0,0.0,11230.0,11230.0,9009.0,80.3,0,0.0,975,8.7,2035,18.2,2313,20.6,1937,17.3,1552,13.8,857,7.6,714,6.4,274,2.4,570,5.0,115,937,176.4432596767026
433.0,1002.0,150.0,24375.0,24375.0,20669.0,84.8,0,0.0,2085,8.5,5218,21.4,4221,17.3,3059,12.6,3869,15.9,2942,12.0,1746,7.2,695,2.9,536,2.2,115,937,224.9464028682683
0.0,1.0,0.0,5939.0,5939.0,4288.0,72.2,0,0.0,481,8.1,462,7.8,723,12.1,709,11.9,986,16.6,725,12.2,718,12.1,452,7.6,681,11.5,115,937,83.55257724152113
0.0,0.0,0.0,13211.0,13211.0,10942.0,82.8,0,0.0,958,7.2,1635,12.4,1172,8.9,1515,11.5,2257,17.1,1764,13.4,2241,17.0,1152,8.8,513,3.9,115,937,68.28786325749338
0.0,0.0,0.0,10451.0,10451.0,7794.0,74.6,0,0.0,528,5.0,1342,12.8,1348,12.9,1266,12.1,1304,12.4,1082,10.4,1278,12.2,777,7.5,1523,14.6,115,937,97.29470446892564
6.0,4.0,0.0,7714.0,7714.0,6026.0,78.2,0,0.0,626,8.1,1428,18.5,1197,15.5,1420,18.4,1264,16.4,550,7.1,527,6.9,312,4.1,386,5.0,115,937,156.730431846415
84.0,41.0,7.0,7306.0,7306.0,5192.0,71.0,0,0.0,571,7.7,1066,14.5,1388,19.0,1225,16.8,1171,16.1,802,11.0,575,7.9,256,3.5,249,3.4,115,937,264.9981608020346
90.0,35.0,105.0,148069.0,148069.0,128813.0,87.0,0,0.0,9613,6.5,18040,12.2,16170,10.9,24956,16.9,23565,16.0,18428,12.5,23632,16.0,9464,6.4,4200,2.8,115,937,37.34413627195349
15.0,34.0,53.0,3730.0,3730.0,2598.0,69.6,0,0.0,149,4.0,245,6.6,399,10.7,362,9.8,591,15.8,581,15.6,756,20.3,364,9.8,280,7.5,115,937,29.16072050400519
0.0,0.0,0.0,8231.0,8231.0,4182.0,50.8,0,0.0,391,4.7,1096,13.4,1421,17.2,1702,20.7,1859,22.6,860,10.4,403,4.9,232,2.8,265,3.2,115,937,294.1807971545569
36.0,67.0,136.0,27889.0,27889.0,22868.0,82.0,0,0.0,1519,5.4,4006,14.4,3091,11.0,3686,13.2,7194,25.8,4027,14.4,2571,9.2,1091,3.9,703,2.5,115,937,30.278369798888946
27.0,9.0,4.0,10800.0,10800.0,7317.0,67.8,0,0.0,696,6.5,1435,13.3,1806,16.7,1908,17.7,2163,20.0,1201,11.1,820,7.6,276,2.6,491,4.6,115,937,242.70949747054502
36.0,24.0,80.0,36830.0,36830.0,32318.0,87.8,0,0.0,2477,6.8,3971,10.8,5122,13.9,5673,15.4,6890,18.8,4096,11.2,5071,13.8,1732,4.7,1796,4.9,115,937,57.08700782008723
1.0,0.0,0.0,12246.0,12246.0,10260.0,83.8,0,0.0,0,0.0,1597,12.8,1846,15.0,2460,20.0,2182,17.8,1104,9.1,1086,8.9,600,5.0,1242,10.0,95,950,99.0645017797758
62.0,95.0,0.0,112489.0,112489.0,99846.0,88.8,0,0.0,0,0.0,24517,21.3,21076,18.8,18596,16.6,21540,19.1,11639,10.5,9061,8.1,3728,3.4,2126,1.9,95,950,41.52019835390366
92.0,286.0,0.0,12653.0,12653.0,10882.0,86.0,0,0.0,0,0.0,3451,26.8,2754,21.9,1840,14.7,1869,14.8,1028,8.2,910,7.2,378,3.0,383,3.0,95,950,35.05808037025796
15.0,12.0,0.0,175438.0,175438.0,164622.0,93.8,0,0.0,0,0.0,57588,32.3,42111,24.2,35480,20.3,26353,15.1,6900,4.1,3662,2.1,1426,0.8,1749,1.0,95,950,63.12506133840832
2718.0,3072.0,0.0,127835.0,127835.0,104712.0,81.9,0,0.0,0,0.0,23258,17.9,17585,13.9,20612,16.0,22712,17.7,15663,12.4,11606,9.1,7360,5.8,8234,6.5,95,950,21.190738221306123
952.0,804.0,0.0,1528599.0,1528599.0,1347727.0,88.2,0,0.0,0,0.0,257519,16.6,199051,13.1,262841,17.1,357986,23.3,196195,13.1,140304,9.2,62516,4.2,47830,3.2,95,950,56.366387676135716
7.0,14.0,0.0,16441.0,16441.0,13225.0,80.4,0,0.0,0,0.0,1562,9.3,2894,17.5,3207,19.5,2892,17.6,2315,14.1,1877,11.5,818,5.1,796,4.8,95,950,107.3216701736494
240.0,296.0,0.0,100987.0,100987.0,89054.0,88.2,0,0.0,0,0.0,8788,8.5,8973,8.9,12059,11.9,18566,18.3,15241,15.2,18559,18.3,9812,9.9,8218,8.2,95,950,62.036818275232264
