,fipsCode,housing_cluster,econ_cluster
1046,12017,0,2
1047,12017,0,2
1048,12017,0,2
1049,12017,0,2
1050,12017,0,2
1051,12019,0,3
1052,12019,0,3
1053,12019,0,3
1054,12019,0,3
1055,12019,0,3
1056,12023,0,2
1057,12023,0,2
1058,12023,0,2
1059,12023,0,2
1060,12023,0,2
1061,12029,0,2
1062,12029,0,2
1063,12029,0,2
1064,12029,0,2
1065,12029,0,2
1066,12029,0,2
1067,12029,0,2
1068,12029,0,2
1069,12031,1,0
1070,12031,1,0
1071,12031,1,0
1072,12031,1,0
1073,12031,1,0
1074,12031,1,0
1075,12031,1,0
1076,12031,1,0
1077,12041,0,0
1078,12041,0,0
1079,12041,0,0
1080,12041,0,0
1081,12041,0,0
1082,12047,0,2
1083,12047,0,2
1084,12047,0,2
1085,12047,0,2
1086,12053,0,0
1087,12053,0,0
1088,12053,0,0
1089,12053,0,0
1090,12053,0,0
1091,12053,0,0
1092,12053,0,0
1093,12061,0,0
1094,12061,0,0
1095,12061,0,0
1096,12061,0,0
1097,12061,0,0
1098,12061,0,0
1099,12061,0,0
1100,12061,0,0
1101,12067,0,0
1102,12067,0,0
1103,12067,0,0
1104,12067,0,0
1105,12075,0,2
1106,12075,0,2
1107,12075,0,2
1108,12075,0,2
1109,12075,0,2
1110,12075,0,2
1111,12075,0,2
1112,12083,2,0
1113,12083,2,0
1114,12083,2,0
1115,12083,2,0
1116,12083,2,0
1117,12085,0,3
1118,12085,0,3
1119,12085,0,3
1120,12085,0,3
1121,12085,0,3
1122,12085,0,3
1123,12086,4,0
1124,12086,4,0
1125,12086,4,0
1126,12089,0,3
1127,12089,0,3
1128,12089,0,3
1129,12089,0,3
1130,12111,2,0
1131,12111,2,0
1132,12111,2,0
1133,12111,2,0
1134,12111,2,0
1135,12111,2,0
1136,12119,0,0
1137,12119,0,0
1138,12119,0,0
1139,12119,0,0
1140,12121,0,2
1141,12121,0,2
1142,12121,0,2
1143,12121,0,2
1144,12121,0,2
1145,12125,0,0
1146,12125,0,0
1147,12125,0,0
1148,12125,0,0
1149,48007,0,0
1150,48007,0,0
1151,48021,0,3
1152,48025,0,2
1153,48025,0,2
1154,48055,0,0
1155,48055,0,0
1156,48057,0,0
1157,48057,0,0
1158,48089,0,0
1159,48123,0,0
1160,48123,0,0
1161,48149,0,3
1162,48175,0,0
1163,48175,0,0
1164,48177,0,0
1165,48185,0,0
1166,48185,0,0
1167,48199,0,0
1168,48199,0,0
1169,48199,0,0
1170,48255,0,0
1171,48255,0,0
1172,48273,0,0
1173,48285,0,0
1174,48287,0,0
1175,48351,0,2
1176,48351,0,2
1177,48351,0,2
1178,48355,2,0
1179,48391,0,0
1180,48391,0,0
1181,48403,0,0
1182,48403,0,0
1183,48403,0,0
1184,48409,0,0
1185,48409,0,0
1186,48457,0,2
1187,48457,0,2
1188,48457,0,2
1189,48469,0,0
1190,48469,0,0
1191,51700,0,0
1192,51700,0,0
1193,51550,0,3
1194,51550,0,3
1195,51650,0,0
1196,51650,0,0
1197,51710,2,0
1198,51710,2,0
1199,51740,0,0
1200,51740,0,0
1201,51800,0,3
1202,51800,0,3
1203,51810,2,3
1204,51810,2,3
1205,45005,0,4
1206,45005,0,4
1207,45009,0,2
1208,45009,0,2
1209,45011,0,2
1210,45011,0,2
1211,45013,0,3
1212,45013,0,3
1213,45015,0,3
1214,45015,0,3
1215,45017,0,2
1216,45017,0,2
1217,45027,0,2
1218,45027,0,2
1219,45029,0,2
1220,45035,0,3
1221,45049,0,2
1222,45049,0,2
1223,45053,0,0
1224,45053,0,0
1225,45061,0,2
1226,45061,0,2
1227,45075,0,2
1228,45075,0,2
