,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Min Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
81,AL011852,UNNAMED,18520824, 1200,, HU, 27.7N,  87.1W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
82,AL011852,UNNAMED,18520824, 1800,, HU, 28.2N,  87.5W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
83,AL011852,UNNAMED,18520825, 0000,, HU, 28.6N,  87.8W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
84,AL011852,UNNAMED,18520825, 0600,, HU, 28.8N,  88.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
85,AL011852,UNNAMED,18520825, 1200,, HU, 29.1N,  88.2W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
86,AL011852,UNNAMED,18520825, 1800,, HU, 29.4N,  88.4W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
87,AL011852,UNNAMED,18520826, 0000,, HU, 29.8N,  88.6W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
88,AL011852,UNNAMED,18520826, 0600, L, HU, 30.2N,  88.6W, 100,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
89,AL011852,UNNAMED,18520826, 1200,, HU, 30.6N,  88.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
90,AL011852,UNNAMED,18520826, 1800,, HU, 31.2N,  88.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
91,AL011852,UNNAMED,18520827, 0000,, TS, 31.8N,  87.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
92,AL011852,UNNAMED,18520827, 0600,, TS, 32.3N,  86.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
93,AL011852,UNNAMED,18520827, 1200,, TS, 32.8N,  84.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
94,AL011852,UNNAMED,18520827, 1800,, TS, 33.2N,  82.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
95,AL011852,UNNAMED,18520828, 0000,, TS, 33.5N,  80.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
96,AL011852,UNNAMED,18520828, 0600,, TS, 33.8N,  78.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
97,AL011852,UNNAMED,18520828, 1200,, TS, 34.0N,  76.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
98,AL011852,UNNAMED,18520828, 1800,, TS, 34.4N,  74.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
99,AL011852,UNNAMED,18520829, 0000,, TS, 35.2N,  72.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
100,AL011852,UNNAMED,18520829, 0600,, TS, 36.4N,  71.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
101,AL011852,UNNAMED,18520829, 1200,, TS, 38.0N,  70.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
102,AL011852,UNNAMED,18520829, 1800,, TS, 39.6N,  69.6W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
103,AL011852,UNNAMED,18520830, 0000,, TS, 41.0N,  68.0W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
104,AL021852,UNNAMED,18520905, 0600,, HU, 17.4N,  65.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
105,AL021852,UNNAMED,18520905, 1200,, HU, 17.7N,  66.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
106,AL021852,UNNAMED,18520905, 1800,, TS, 18.2N,  67.1W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
107,AL031852,UNNAMED,18520909, 0000,, HU, 26.4N,  90.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
108,AL031852,UNNAMED,18520909, 0600,, HU, 26.5N,  89.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
109,AL031852,UNNAMED,18520909, 1200,, HU, 26.6N,  88.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
110,AL031852,UNNAMED,18520909, 1800,, HU, 26.6N,  88.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
111,AL031852,UNNAMED,18520910, 0000,, HU, 26.8N,  87.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
112,AL031852,UNNAMED,18520910, 0600,, HU, 26.9N,  86.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
113,AL031852,UNNAMED,18520910, 1200,, HU, 27.1N,  86.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
114,AL031852,UNNAMED,18520910, 1800,, HU, 27.3N,  85.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
115,AL031852,UNNAMED,18520911, 0000,, HU, 27.5N,  85.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
116,AL031852,UNNAMED,18520911, 0600,, HU, 27.7N,  84.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
117,AL031852,UNNAMED,18520911, 1200,, HU, 27.8N,  84.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
118,AL031852,UNNAMED,18520911, 1800,, HU, 27.9N,  83.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
119,AL031852,UNNAMED,18520912, 0000, L, HU, 28.0N,  82.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
120,AL031852,UNNAMED,18520912, 0600,, TS, 28.1N,  82.2W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
121,AL031852,UNNAMED,18520912, 1200,, TS, 28.2N,  81.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
122,AL031852,UNNAMED,18520912, 1800,, TS, 28.5N,  80.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
123,AL031852,UNNAMED,18520913, 0000,, TS, 29.2N,  79.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
124,AL031852,UNNAMED,18520913, 0600,, HU, 30.4N,  77.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
125,AL031852,UNNAMED,18520913, 1200,, HU, 32.0N,  74.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
126,AL031852,UNNAMED,18520913, 1800,, HU, 34.0N,  71.5W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
