disasterNumber,declarationTitle,state,Date,fipsStateCode,fipsCountyCode,year,county,validReg_own,DamageBetween1and1000,DamageBetween10001and2000,DamageBetween20001and3000,DamageGreaterThan3000,validReg_rent,ModerateDamage_rent,MajorDamage_rent,SubstDamage_rent,fipsCode,LATITUDE_county,LONGITUDE_county
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,157,2005,Fort Bend (County),2099.0,332.0,1.0,0.0,1.0,1584.0,0.0,0.0,0.0,48157,29.620209,-95.681282
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,167,2024,Galveston (County),23042.0,2645.0,270.0,22.0,9.0,19944.0,564.0,15.0,0.0,48167,29.428137,-95.019324
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,167,2017,Galveston (County),23626.0,6892.0,4260.0,1612.0,816.0,20925.0,3021.0,234.0,0.0,48167,29.428137,-95.019324
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,167,2008,Galveston (County),39383.0,12408.0,2758.0,2718.0,3072.0,31810.0,0.0,0.0,0.0,48167,29.428137,-95.019324
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,167,2005,Galveston (County),20100.0,5387.0,31.0,8.0,11.0,21348.0,0.0,0.0,0.0,48167,29.428137,-95.019324
1479,HURRICANE CLAUDETTE,TX,2003-07-15 00:00:00+00:00,48,167,2003,Galveston (County),262.0,189.0,9.0,0.0,3.0,102.0,0.0,0.0,0.0,48167,29.428137,-95.019324
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,201,2024,Harris (County),331674.0,30531.0,2646.0,211.0,95.0,363101.0,7297.0,98.0,0.0,48201,29.816889,-95.425716
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,201,2017,Harris (County),183459.0,49338.0,23576.0,11003.0,7824.0,263617.0,26945.0,2728.0,0.0,48201,29.816889,-95.425716
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,201,2008,Harris (County),201590.0,62374.0,1977.0,952.0,804.0,172819.0,0.0,0.0,0.0,48201,29.816889,-95.425716
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,201,2005,Harris (County),38853.0,8639.0,21.0,4.0,16.0,48382.0,0.0,0.0,0.0,48201,29.816889,-95.425716
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,239,2024,Jackson (County),481.0,58.0,16.0,0.0,0.0,407.0,6.0,0.0,0.0,48239,28.959201,-96.594369
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,239,2017,Jackson (County),1335.0,449.0,3.0,1.0,1.0,1021.0,37.0,2.0,0.0,48239,28.959201,-96.594369
1479,HURRICANE CLAUDETTE,TX,2003-07-15 00:00:00+00:00,48,239,2003,Jackson (County),239.0,132.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,48239,28.959201,-96.594369
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,241,2024,Jasper (County),1316.0,437.0,79.0,5.0,3.0,851.0,92.0,2.0,0.0,48241,30.731569,-93.993279
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,241,2017,Jasper (County),2881.0,959.0,127.0,32.0,18.0,1397.0,54.0,10.0,0.0,48241,30.731569,-93.993279
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,241,2008,Jasper (County),3724.0,1129.0,26.0,7.0,14.0,1625.0,0.0,0.0,0.0,48241,30.731569,-93.993279
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,241,2005,Jasper (County),12020.0,7026.0,105.0,17.0,166.0,5070.0,0.0,0.0,0.0,48241,30.731569,-93.993279
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,245,2024,Jefferson (County),6339.0,656.0,52.0,3.0,2.0,12291.0,217.0,0.0,0.0,48245,30.01146,-94.067627
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,245,2017,Jefferson (County),33376.0,8362.0,5215.0,2283.0,1605.0,33566.0,5197.0,392.0,0.0,48245,30.01146,-94.067627
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,245,2008,Jefferson (County),42416.0,11994.0,307.0,240.0,296.0,35541.0,0.0,0.0,0.0,48245,30.01146,-94.067627
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,245,2005,Jefferson (County),68357.0,33185.0,716.0,111.0,265.0,64527.0,0.0,0.0,0.0,48245,30.01146,-94.067627
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,291,2024,Liberty (County),9523.0,1625.0,91.0,12.0,7.0,3812.0,92.0,2.0,0.0,48291,30.159245,-94.925523
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,291,2017,Liberty (County),7326.0,3169.0,796.0,296.0,164.0,3196.0,462.0,46.0,0.0,48291,30.159245,-94.925523
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,291,2008,Liberty (County),10423.0,5144.0,163.0,44.0,135.0,3858.0,0.0,0.0,0.0,48291,30.159245,-94.925523
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,291,2005,Liberty (County),18703.0,8943.0,69.0,17.0,63.0,8345.0,0.0,0.0,0.0,48291,30.159245,-94.925523
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,321,2024,Matagorda (County),4722.0,928.0,162.0,25.0,6.0,2726.0,106.0,1.0,0.0,48321,28.918149,-95.998903
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,321,2017,Matagorda (County),5487.0,1302.0,102.0,39.0,7.0,4245.0,88.0,2.0,0.0,48321,28.918149,-95.998903
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,321,2008,Matagorda (County),362.0,133.0,6.0,0.0,1.0,220.0,0.0,0.0,0.0,48321,28.918149,-95.998903
1479,HURRICANE CLAUDETTE,TX,2003-07-15 00:00:00+00:00,48,321,2003,Matagorda (County),1469.0,1011.0,35.0,3.0,1.0,645.0,0.0,0.0,0.0,48321,28.918149,-95.998903
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,339,2024,Montgomery (County),50847.0,3974.0,337.0,46.0,26.0,29751.0,544.0,6.0,0.0,48339,30.228848,-95.462136
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,339,2017,Montgomery (County),11396.0,3029.0,1023.0,653.0,784.0,7780.0,775.0,353.0,0.0,48339,30.228848,-95.462136
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,339,2008,Montgomery (County),25649.0,6352.0,168.0,54.0,97.0,10532.0,0.0,0.0,0.0,48339,30.228848,-95.462136
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,339,2005,Montgomery (County),8148.0,3301.0,22.0,6.0,8.0,3210.0,0.0,0.0,0.0,48339,30.228848,-95.462136
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,347,2024,Nacogdoches (County),1145.0,121.0,11.0,1.0,1.0,1290.0,24.0,0.0,0.0,48347,31.625667,-94.644584
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,347,2008,Nacogdoches (County),1729.0,488.0,8.0,2.0,7.0,848.0,0.0,0.0,0.0,48347,31.625667,-94.644584
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,347,2005,Nacogdoches (County),3767.0,1876.0,7.0,5.0,10.0,2106.0,0.0,0.0,0.0,48347,31.625667,-94.644584
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,361,2024,Orange (County),1900.0,240.0,18.0,6.0,0.0,2116.0,65.0,0.0,0.0,48361,30.120218,-93.865826
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,361,2017,Orange (County),18571.0,4099.0,3417.0,2154.0,1428.0,9991.0,2100.0,262.0,0.0,48361,30.120218,-93.865826
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,361,2008,Orange (County),17563.0,3873.0,872.0,1621.0,1548.0,9107.0,0.0,0.0,0.0,48361,30.120218,-93.865826
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,361,2005,Orange (County),28059.0,15046.0,363.0,66.0,431.0,15811.0,0.0,0.0,0.0,48361,30.120218,-93.865826
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,373,2024,Polk (County),4730.0,948.0,62.0,5.0,2.0,2076.0,86.0,0.0,0.0,48373,30.736484,-94.936813
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,373,2017,Polk (County),1641.0,656.0,56.0,31.0,20.0,593.0,30.0,3.0,0.0,48373,30.736484,-94.936813
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,373,2008,Polk (County),4206.0,1765.0,45.0,11.0,35.0,1416.0,0.0,0.0,0.0,48373,30.736484,-94.936813
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,373,2005,Polk (County),8122.0,4007.0,40.0,9.0,24.0,3141.0,0.0,0.0,0.0,48373,30.736484,-94.936813
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,407,2024,San Jacinto (County),3474.0,733.0,83.0,15.0,10.0,959.0,65.0,2.0,0.0,48407,30.549124,-95.13469
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,407,2017,San Jacinto (County),1940.0,867.0,168.0,110.0,63.0,486.0,78.0,17.0,0.0,48407,30.549124,-95.13469
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,407,2008,San Jacinto (County),2494.0,1098.0,23.0,4.0,13.0,687.0,0.0,0.0,0.0,48407,30.549124,-95.13469
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,407,2005,San Jacinto (County),4603.0,2444.0,22.0,4.0,24.0,1218.0,0.0,0.0,0.0,48407,30.549124,-95.13469
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,419,2024,Shelby (County),541.0,92.0,15.0,0.0,0.0,331.0,6.0,0.0,0.0,48419,31.823503,-94.181492
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,419,2008,Shelby (County),149.0,57.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,48419,31.823503,-94.181492
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,419,2005,Shelby (County),1650.0,788.0,1.0,1.0,3.0,487.0,0.0,0.0,0.0,48419,31.823503,-94.181492
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,455,2024,Trinity (County),1036.0,188.0,10.0,0.0,1.0,429.0,13.0,0.0,0.0,48455,30.998905,-95.244685
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,455,2008,Trinity (County),1305.0,376.0,1.0,1.0,2.0,402.0,0.0,0.0,0.0,48455,30.998905,-95.244685
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,455,2005,Trinity (County),1804.0,877.0,1.0,2.0,6.0,565.0,0.0,0.0,0.0,48455,30.998905,-95.244685
